Team,Attack Strength,Defence Strength
ARS,1.99,0.83
AVL,1.65,1.48
BOU,1.57,1.48
BRE,1.44,1.62
BHA,1.54,1.54
CHE,1.92,1.42
CRY,1.31,1.46
EVE,1.16,1.49
FUL,1.36,1.51
IPS,1.09,1.92
LEI,1.13,1.97
LIV,2.16,1.15
MCI,2.18,1.15
MUN,1.53,1.52
NEW,1.76,1.49
NFO,1.2,1.48
SOU,1.07,1.98
TOT,1.9,1.54
WHU,1.37,1.69
WOL,1.17,1.77
