team,Manager,Price
ARS,Arteta,1.5
AVL,Emery,0.8
BOU,Iraola,1.1
BRE,Frank,0.8
BHA,Hurzeler,1.1
CHE,Maresca,1.5
CRY,Glasner,0.8
EVE,Moyes,0.5
FUL,Silva,1.1
IPS,McKenna,0.5
LEI,van Nistelrooy,0.5
LIV,Slot,1.5
MCI,Guardiola,1.5
MUN,Amorim,0.8
NEW,Howe,1.5
NFO,Nuno,1.1
SOU,Juric,0.5
TOT,Postecoglou,1.1
WHU,Potter,0.5
WOL,Pereira,0.5
